User_ID,Trip_Frequency,Avg_Booking_Value,Destination_Diversity,Session_Duration_Min,Search_Count
U00001,7.0,147522.0,5.0,31.84,77.0
U00002,5.0,90976.0,1.0,18.05,15.0
U00003,5.0,96212.0,4.0,26.08,76.0
U00004,8.0,94838.0,2.0,5.37,91.0
U00005,7.0,101396.0,20.0,48.57,89.0
U00006,6.0,54688.0,26.0,4.25,78.0
U00007,8.0,135084.0,14.0,39.83,79.0
U00008,2.0,83357.0,25.0,52.87,53.0
U00009,6.0,100966.0,7.0,36.03,23.0
U00010,8.0,15091.0,21.0,33.32,38.0
U00011,5.0,41721.0,16.0,49.95,89.0
U00012,5.0,70485.0,,50.15,82.0
U00013,9.0,15813.0,22.0,12.39,5.0
U00014,6.0,105117.0,23.0,53.84,89.0
U00015,7.0,7840.0,26.0,5.52,98.0
U00016,7.0,70259.0,4.0,51.22,55.0
U00017,5.0,34646.0,11.0,50.86,54.0
U00018,7.0,74799.0,18.0,7.03,37.0
U00019,9.0,28369.0,12.0,31.54,24.0
U00020,2.0,35235.0,5.0,26.75,14.0
U00021,2.0,57123.0,8.0,12.23,94.0
U00022,3.0,131165.0,24.0,28.62,8.0
U00023,8.0,105231.0,17.0,9.19,77.0
U00024,6.0,118134.0,8.0,7.81,84.0
U00025,3.0,67562.0,0.0,33.23,96.0
U00026,3.0,118536.0,9.0,7.35,62.0
U00027,3.0,48150.0,16.0,41.14,88.0
U00028,5.0,17665.0,15.0,,54.0
U00029,5.0,12729.0,12.0,52.11,13.0
U00030,6.0,110291.0,0.0,13.49,
U00031,,137753.0,20.0,58.58,7.0
U00032,8.0,107007.0,28.0,22.78,59.0
U00033,8.0,136263.0,8.0,8.83,19.0
U00034,7.0,10729.0,25.0,37.12,95.0
U00035,,134132.0,18.0,48.3,
U00036,8.0,91141.0,2.0,43.75,51.0
U00037,5.0,88967.0,19.0,1.97,13.0
U00038,7.0,104483.0,18.0,25.37,17.0
U00039,,49438.0,17.0,5.15,95.0
U00040,6.0,129605.0,5.0,46.03,54.0
U00041,4.0,143356.0,15.0,34.86,76.0
U00042,5.0,55535.0,8.0,2.12,9.0
U00043,2.0,21768.0,15.0,27.34,82.0
U00044,3.0,29918.0,11.0,14.32,72.0
U00045,5.0,105658.0,18.0,39.0,16.0
U00046,7.0,11020.0,26.0,14.03,
U00047,9.0,27191.0,15.0,41.51,55.0
U00048,5.0,105092.0,1.0,7.01,93.0
U00049,5.0,120856.0,9.0,59.81,70.0
U00050,3.0,70026.0,16.0,19.54,36.0
U00051,7.0,16238.0,25.0,14.89,57.0
U00052,6.0,148541.0,5.0,40.05,20.0
U00053,8.0,28148.0,23.0,10.09,64.0
U00054,7.0,66449.0,3.0,2.65,
U00055,4.0,40229.0,21.0,54.44,95.0
U00056,7.0,145170.0,8.0,58.12,40.0
U00057,11.0,59719.0,6.0,56.79,57.0
U00058,,24092.0,15.0,15.48,74.0
U00059,6.0,127999.0,15.0,40.93,79.0
U00060,9.0,25625.0,21.0,5.61,7.0
U00061,9.0,8927.0,6.0,33.03,51.0
U00062,8.0,94349.0,2.0,48.26,50.0
U00063,7.0,29849.0,8.0,22.63,71.0
U00064,5.0,52939.0,15.0,58.29,46.0
U00065,8.0,77720.0,17.0,50.62,29.0
U00066,6.0,209215.0,,62.489999999999995,55.0
U00067,6.0,144494.0,26.0,13.17,1.0
U00068,2.0,147354.0,,12.35,78.0
U00069,6.0,,1.0,14.17,17.0
U00070,7.0,134197.0,25.0,31.37,
U00071,8.0,116368.0,2.0,8.61,13.0
U00072,3.0,120941.0,20.0,5.49,20.0
U00073,4.0,124230.0,13.0,7.67,20.0
U00074,9.0,146502.0,3.0,3.72,75.0
U00075,5.0,,0.0,58.06,30.0
U00076,6.0,78399.0,29.0,33.01,19.0
U00077,3.0,89584.0,28.0,15.0,77.0
U00078,8.0,20999.0,28.0,48.6,25.0
U00079,2.0,147537.0,27.0,33.29,70.0
U00080,5.0,38567.0,2.0,32.22,3.0
U00081,1.0,84394.0,27.0,51.84,48.0
U00082,3.0,127132.0,16.0,43.37,11.0
U00083,4.0,21155.0,,28.42,84.0
U00084,5.0,29941.0,9.0,41.17,
U00085,8.0,39516.0,5.0,29.41,49.0
U00086,9.0,76134.0,14.0,6.99,79.0
U00087,4.0,,18.0,17.85,64.0
U00088,5.0,131219.0,4.0,46.76,5.0
U00089,2.0,124150.0,26.0,44.21,23.0
U00090,5.0,116647.0,7.0,11.46,34.0
U00091,3.0,66870.0,17.0,31.19,96.0
U00092,6.0,57637.0,2.0,15.19,36.0
U00093,4.0,,3.0,3.06,62.0
U00094,,64975.0,,,
U00095,4.0,118557.0,23.0,46.08,
U00096,6.0,21967.0,7.0,16.89,6.0
U00097,3.0,108716.0,10.0,55.64,33.0
U00098,6.0,124475.0,16.0,20.01,36.0
U00099,5.0,21606.0,4.0,19.76,16.0
U00100,6.0,21026.0,13.0,36.09,25.0
U00101,6.0,75342.0,8.0,58.36,18.0
U00102,7.0,30241.0,13.0,36.11,59.0
U00103,4.0,98987.0,26.0,42.66,48.0
U00104,7.0,137139.0,26.0,55.75,46.0
U00105,6.0,73704.0,24.0,13.38,85.0
U00106,4.0,124297.0,,43.71,35.0
U00107,7.0,,26.0,3.47,7.0
U00108,5.0,119115.0,20.0,47.64,98.0
U00109,7.0,13829.0,2.0,59.3,39.0
U00110,11.0,144282.0,19.0,,82.0
U00111,5.0,26478.0,25.0,54.76,24.0
U00112,4.0,101521.0,25.0,,0.0
U00113,10.0,142763.0,22.0,22.07,77.0
U00114,7.0,103310.0,29.0,32.9,97.0
U00115,10.0,84005.0,0.0,1.08,41.0
U00116,5.0,47459.0,9.0,,16.0
U00117,,22958.0,28.0,32.99,29.0
U00118,2.0,54207.0,3.0,15.62,18.0
U00119,5.0,43213.0,0.0,41.57,15.0
U00120,5.0,15942.0,10.0,35.66,56.0
U00121,9.0,91721.0,25.0,34.61,8.0
U00122,4.0,142835.0,14.0,45.07,11.0
U00123,10.0,74500.0,5.0,59.65,4.0
U00124,4.0,7126.0,9.0,25.46,
U00125,5.0,130701.0,0.0,44.6,0.0
U00126,7.0,106773.0,13.0,,80.0
U00127,7.0,52298.0,21.0,19.43,53.0
U00128,8.0,16793.0,18.0,3.71,65.0
U00129,7.0,51926.0,22.0,47.6,25.0
U00130,4.0,,12.0,53.44,11.0
